,JobTitle,Require
0,DATA,"PYTHON,KOTLIN,SQL"
1,RUBY,"RUBY ON RAILS, MYSQL, RUBY"
2,DATA ANALYST,"R,PYTHON,JULIA"
3,GAME," GAME DESIGN, GAME"
4,DATA,"APACHE,PYTHON,JAVA,SPARK,POWER BI"
5,FRONTEND,"GITHUB,TYPESCRIPT,GRAPHQL,REACTJS,CSS,JAVASCRIPT"
6,.NET,".NET,ENGLISH,JAVASCRIPT"
7,FRONTEND,"VUEJS, REACTJS, ANGULAR"
8,BACKEND,".NET, JAVASCRIPT, JAVA, BACK-END"
9,FULLSTACK," JAVASCRIPT,  CSS, JAVA,  NODEJS,  PYTHON,  RUBY ON RAILS,  FULL-STACK,  HTML"
10,GAME,"GAME MOBILE, GAME, UNITY"
11,PRODUCT MANAGER," PROJECT MANAGER,  PRODUCT MANAGER, BUSINESS ANALYST"
12,JAVA,"SPRING, JAVA, J2EE, KOTLIN, ENGLISH - GOOD"
13,MOBILE,"SWIFT,IOS,OBJECTIVE-C,XCODE"
14,UI/UX DESIGNER,"CSS, UI-UX, DESIGNER"
15,DATA,"DATABASE, DEVOPS"
16,DATA ANALYST,"PYTHON,POWER BI,JAVASCRIPT,R"
17,BACKEND,"JAVASCRIPT, PHP, NODEJS"
18,TESTER,"PYTHON, C++, TESTER, EMBEDDED"
19,PHP,"ENGLISH, OOP, PHP"
20,TESTER,"KOTLIN,RUBY,C#,PHP"
21,TESTER,"JAVASCRIPT,C#,KOTLIN"
22,JAVA,"JSON,SQL,SCALA,MAVEN,JAVA,GROOVY"
23,PHP,"MYSQL,SQL,CSS,MVC,PHP"
24,SYSTEM ADMIN,"NETWORKING, SYSTEM ADMIN, SYSTEM"
25,CLOUD,"LINUX, CLOUD, PYTHON"
26,SOFTWARE,"REACT NATIVE,JAVASCRIPT,REACTJS"
27,BACKEND,"KUBERNETES,NOSQL,KAFKA,CI/CD"
28,FRONTEND," TYPESCRIPT,  FRONT-END, REACTJS"
29,BACKEND,"NODEJS, PHP, BACK-END"
30,TESTER,"TESTER, QA QC, ENGLISH"
31,IT HELPDESK,"IT HELPDESK,IT SUPPORT"
32,BACKEND,"PHP,DOCKER,PYTHON,SQL,SOAP,NOSQL"
33,BACKEND," C#,  GOLANG, DATABASE"
34,DATA," JAVA,  DATABASE, PYTHON"
35,DATA ANALYST,"SQL,DATA ANALYST,DATABASE"
36,BACKEND,"JAVA, GOLANG, C++"
37,PRODUCT MANAGER," PRODUCT MANAGER, ANDROID"
38,UI/UX DESIGNER,"FIGMA,JAVASCRIPT,HTML,PHOTOSHOP,XML,CSS"
39,BUSINESS ANALYST,"R,SQL,MONGODB,TABLEAU"
40,SOFTWARE,".NET,ASP.NET,C#"
41,BACKEND,"GOLANG,KUBERNETES,PHP,APACHE,CI/CD"
42,.NET," ASP.NET,  .NET, MVC"
43,SOFTWARE,"JAVA,RUBY,PYTHON,C#,C++,R"
